species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Bayadera kali	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orolestes wallacei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Macromia euterpe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	LC	NA	NA	NA	NA	NA	NA	NA
Protosticta trilobata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Onychogomphus castor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	DD	NA	NA	NA	NA	NA	NA	NA
Protosticta khaosoidaoensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Macrogomphus decemlineatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Indolestes assamicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Aeshna petalura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Davidius zallorensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Aciagrion hisopa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gynacantha phaeomeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia flavostriata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	LC	NA	NA	NA	NA	NA	NA
Coeliccia didyma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Amphicnemis platystyla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NT	NA	NA	NA	NA	NA	NA
Leptogomphus pasia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Vestalis anacolosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	LC	NA	NA	NA	NA	NA	NA
Lyriothemis salva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Calicnemia uenoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Vestalis luctuosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	LC	NA	NA	NA	NA	NA	NA
Acrogomphus malayanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NT	NA	NA	NA	NA	NA	NA	NA
Rhinagrion elopurae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NT	NA	NA	NA	NA	NA	NA	NA
Macrogomphus annulatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Amphicnemis pandanicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	VU	NA	NA	NA	NA	NA	NA
Sarasaeschna martini	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Rhinagrion tricolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus magnificus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus auratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Cephalaeschna klapperichi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Elattoneura nihari	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idionyx montana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Planaeschna intersedens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Drepanosticta spatulifera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Caliphaea thailandica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Onychogomphus grammicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Brachygonia ophelia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
Bornargiolestes nigra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Idiocnemis adelbertensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Nannophlebia agalma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Huonia melvillensis	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Papuagrion oppositum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Teinobasis prothoracica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Metagrion connectens	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lestes quercifolius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Palaeosynthemis alecto	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Wahnesia luteipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Diplacina paula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Rhyacocnemis prothoracica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Selysioneura rhaphia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Titanosticta macrogaster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idiocnemis bidentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nososticta plagioxantha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	LC	NA	NA	NA	NA	NA	NA
Drepanosticta exoleta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Palaiargia halcyon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Hydrobasileus vittatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Pyrrhargiolestes tenuispinus	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nososticta irene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Tanymecosticta fissicollis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nososticta phoenissa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Papuargia stueberi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Palaiargia humida	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Agrionoptera longitudinalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Lieftinckia lairdi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	VU	NA	NA	NA	NA	NA	NA	NA
Agriocnemis aderces	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Paragomphus tachyerges	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Nososticta plagiata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ictinogomphus celebensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Zygonyx ilia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neurothemis nesaea	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nososticta nigrifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Lyriothemis meyeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Diplacina arsinoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Palaeosynthemis primigenia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Indolestes bellax	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Palaiargia eclecta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Huonia moerens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Anaciaeschna melanostoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Archibasis crucigera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Papuagrion ekari	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nesoxenia lineata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Hylaeargia magnifica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Hemicordulia australiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	LC	NA	NA	NA	NA	NA	NA	NA
Neurobasis kimminsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Palaiargia eos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Metagrion triste	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Huonia ferentina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Rhinocypha liberata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	DD	NA	NA	NA	NA	NA	NA	NA
Bironides teuchestes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	DD	NA	NA	NA	NA	NA	NA
Nososticta erythrura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Wahnesia simplex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Rhyothemis princeps	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nannophlebia buruensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Thaumatagrion funereum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Procordulia karnyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Brachydiplax duivenbodei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Arrhenocnemis amphidactylis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Teinobasis argiocnemis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idiocnemis inaequidens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Podopteryx casuarina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Argiolestes alfurus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nososticta wallacii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Protosticta rozendalorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Teinobasis simulans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Agyrtacantha othello	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nannophlebia anatya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Tapeinothemis boharti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	DD	NA	NA	NA	NA	NA	NA	NA
Wahnesia kirbyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Idiocnemis huonensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Brachydiplax denticauda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Selysioneura bacillus	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nososticta evelynae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Celebophlebia dactylogastra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orthetrum balteatum	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nannophlebia amaryllis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lieftinckia ramosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Libellago rufescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Hivaagrion demorsum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Teinobasis superba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nososticta finisterrae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Gynacantha arthuri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Camacinia othello	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Hemicordulia hilbrandi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Huonia arborophila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gynacantha nausicaa	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gomphus amseli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Drepanosticta berlandi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Teinobasis nitescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Ceriagrion aeruginosum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Papuagrion reductum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Procordulia lompobatang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Protosticta geijskesi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Rhyacocnemis leonorae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Diplacina cyrene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Zyxomma multinervorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Metaphya tillyardi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Palaiargia optata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Agrionoptera similis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Drepanosticta lepyricollis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Wahnesia saltuaria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Bironides superstes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA	NA	NA
Aciagrion fragile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Huonia thais	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Austroagrion exclamationis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Cyanocnemis aureofrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Ischnura acuticauda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Agrionoptera cynthiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Protosticta gracilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Macromia irina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Paragomphus capitatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Pseudagrion schmidtianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Trithemis lilacina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Selysioneura arboricola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Selysioneura virgula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Protorthemis woodfordi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Drepanosticta conica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Macromia sophrosyne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Diplacina micans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Palaeosynthemis evelynae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Paramecocnemis erythrostigma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Idiocnemis fissidens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Palaiargia tanysiptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Anax nigrofasciatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Mnais andersoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sympetrum eroticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Davidius davidii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Trigomphus citimus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Paracercion calamorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Heliocypha perforata	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ceriagrion auranticum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Acanthagrion speculum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Argia underwoodi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Stylurus plagiatus	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Octogomphus specularis	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Telebasis digiticollis	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sympetrum nigrocreatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Enallagma traviatum	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Tramea calverti	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Enallagma davisi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Palaemnema spinulata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Progomphus mexicanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sympetrum madidum	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Enallagma doubledayi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Enallagma minusculum	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Stylurus scudderi	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Phyllogomphoides nayaritensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Lestes henshawi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gomphurus ozarkensis	LC	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
