species	2013	1996	1994	2016	1990	1988	1986	1982	2017	2011	2014	2018	2009	2006	2010	2004	2000	2012	2002	2019	2015	2020	2007	2008	2003
Furcifer campani	NA	VU	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Furcifer labordi	NA	VU	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Furcifer minor	NA	VU	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Furina dunmalli	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gallotia simonyi	NA	CR	E	NA	E	E	E	NA	NA	NA	NA	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gavialis gangeticus	NA	EN	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	CR	NA	NA
Chelonoidis chilensis	NA	VU	V	NA	V	V	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis denticulata	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geochelone gigantea	NA	VU	R	NA	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geochelone platynota	NA	CR	K	NA	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Astrochelys radiata	NA	VU	V	NA	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Astrochelys yniphora	NA	EN	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Chelonoidis abingdonii	NA	EW	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis becki	NA	VU	NA	VU	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis chathamensis	NA	VU	NA	VU	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis darwini	NA	EN	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis duncanensis	NA	EW	NA	EW	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis guntheri	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis niger	NA	EX	NA	EX	NA	NA	NA	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelonoidis hoodensis	NA	CR	NA	CR	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
