species	2012	1996	1994	2011	1990	1983	2017	2000	2016	1988	1986	2010	2004	2007	2018	2020	2009	2006	2003	2014	2013	2019	2015	2002
Amphorella melampoides	NA	VU	R	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphorella iridescens	NA	VU	Ex?	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplirhagada astuta	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplirhagada elevata	NA	LR/lc	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplirhagada herbertena	NA	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplirhagada montalivetensis	NA	LR/nt	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amplirhagada questroana	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anceya giraudi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anceya terebriformis	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ancylastrum cumingianus	NA	CR	E	NA	E	E	NA	NA	NA	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ancylus ashangiensis	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ancylus regularis	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluvidona anodonta	NA	VU	V	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluvidona dulvertonensis	NA	EX	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluvidona dyeriana	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austropyrgus grampianensis	NA	CR	V	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluvidona petterdi	NA	VU	I	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluvidona simsoniana	NA	LR/lc	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anguispira picta	NA	DD	V	NA	V	NA	NA	NA	NA	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anodontoides radiatus	NA	LR/nt	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anoglypta launcestonensis	NA	VU	E	NA	E	E	NA	NA	NA	I	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antrobia culveri	NA	EN	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphaostracon asthenes	NA	VU	I	NA	I	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphaostracon monas	NA	VU	I	NA	I	NA	NA	VU	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphaostracon pycnus	VU	VU	I	NA	I	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archachatina bicarinata	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archachatina knorri	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heraultiella exilis	NA	VU	I	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arion obesoductus	NA	DD	R	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arion simrothi	NA	DD	Ex	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arcidens wheeleri	NA	CR	E	EN	E	NA	NA	NA	NA	E	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Armsia petasus	NA	CR	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ashmunella pasonis	NA	LR/nt	I	NA	I	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assiminea infirma	NA	VU	I	NA	I	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assiminea palauensis	NA	DD	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assiminea pecos	NA	EN	I	NA	V	NA	NA	NA	NA	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astraea heliotropium	NA	CR	NA	NA	NA	NA	NA	LR/lc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atenia quadrasi	NA	LR/nt	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atrichotoxon usambarense	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella ambusta	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella castanea	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella crassula	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella malleata	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella perpusilla	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella pulchra	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella tenella	NA	DD	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella expansa	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auriculella uniplicata	NA	EX	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austroassiminea letha	NA	VU	E	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austrochloritis ascensa	NA	LR/nt	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Protolinitis pusilla	NA	LR/nt	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Avenionia brevis	NA	DD	K	NA	I	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Awalycaeus akiratadai	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Granulomelon squamulosum	NA	LR/nt	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bathanalia howesi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
