species	current_status
Coendou speratus	EN
Coendou spinosus	LC
Coendou vestitus	DD
Coleura afra	LC
Coleura kibomalandy	DD
Coleura seychellensis	CR
Colobus angolensis	LC
Colobus guereza	LC
Colobus polykomos	VU
Colobus satanas	VU
Colobus vellerosus	VU
Colomys goslingi	LC
Condylura cristata	LC
Conepatus chinga	LC
Conepatus humboldtii	LC
Conepatus leuconotus	LC
Conepatus semistriatus	LC
Congosorex phillipsorum	CR
Congosorex polli	DD
Congosorex verheyeni	LC
Conilurus penicillatus	VU
Connochaetes gnou	LC
Connochaetes taurinus	LC
Cormura brevirostris	LC
Corynorhinus mexicanus	NT
Corynorhinus rafinesquii	LC
Corynorhinus townsendii	LC
Craseonycteris thonglongyai	VU
Crateromys australis	DD
Crateromys heaneyi	EN
Crateromys paulus	DD
Crateromys schadenbergi	EN
Cratogeomys castanops	LC
Cratogeomys fulvescens	LC
Cratogeomys fumosus	LC
Cratogeomys goldmani	LC
Cratogeomys merriami	LC
Cratogeomys perotensis	LC
Cratogeomys planiceps	LC
Cremnomys cutchicus	LC
Cremnomys elvira	CR
Cricetomys ansorgei	LC
Cricetomys emini	LC
Cricetomys gambianus	LC
Cricetulus alticola	LC
Cricetulus barabensis	LC
Cricetulus kamensis	LC
Cricetulus lama	LC
Cricetulus longicaudatus	LC
Cricetulus migratorius	LC
Cricetulus sokolovi	LC
Cricetulus tibetanus	LC
Cricetus cricetus	LC
Crocidura absconditus	DD
Crocidura afeworkbekelei	DD
Crocidura aleksandrisi	LC
Crocidura allex	VU
Crocidura andamanensis	CR
Crocidura annamitensis	DD
Crocidura ansellorum	EN
Crocidura arabica	LC
Crocidura arispa	LC
Crocidura armenica	DD
Crocidura attenuata	LC
Crocidura attila	LC
Crocidura baileyi	LC
Crocidura baluensis	LC
Crocidura batakorum	DD
Crocidura batesi	LC
Crocidura beatus	LC
Crocidura beccarii	LC
Crocidura bottegi	DD
Crocidura bottegoides	EN
Crocidura brunnea	LC
Crocidura buettikoferi	NT
Crocidura caliginea	LC
Crocidura canariensis	EN
Crocidura caspica	DD
Crocidura cinderella	LC
Crocidura congobelgica	LC
Crocidura cranbrooki	DD
Crocidura crenata	LC
Crocidura crossei	LC
Crocidura cyanea	LC
Crocidura denti	LC
Crocidura desperata	EN
Crocidura dhofarensis	DD
Crocidura dolichura	LC
Crocidura douceti	LC
Crocidura dsinezumi	LC
Crocidura eburnea	LC
Crocidura eisentrauti	VU
Crocidura elgonius	LC
Crocidura elongata	LC
Crocidura erica	DD
Crocidura fingui	DD
Crocidura fischeri	DD
Crocidura flavescens	LC
Crocidura floweri	DD
Crocidura foetida	LC
Crocidura foxi	LC
Crocidura fuliginosa	LC
Crocidura fulvastra	LC
Crocidura fumosa	LC
Crocidura fuscomurina	LC
Crocidura gathornei	DD
Crocidura glassi	NT
Crocidura gmelini	LC
Crocidura goliath	LC
Crocidura gracilipes	DD
Crocidura grandiceps	NT
Crocidura grandis	DD
Crocidura grassei	LC
Crocidura grayi	LC
Crocidura greenwoodi	LC
Crocidura guy	DD
Crocidura harenna	CR
Crocidura hikmiya	EN
Crocidura hildegardeae	LC
Crocidura hilliana	DD
Crocidura hirta	LC
Crocidura hispida	VU
Crocidura horsfieldii	DD
Crocidura hutanis	LC
Crocidura indochinensis	LC
Crocidura jacksoni	LC
Crocidura jenkinsi	CR
Crocidura jouvenetae	LC
Crocidura katinka	DD
Crocidura kivuana	NT
Crocidura lamottei	LC
Crocidura lanosa	VU
Crocidura lasiura	LC
Crocidura latona	LC
Crocidura lea	LC
Crocidura lepidura	LC
Crocidura leucodon	LC
Crocidura levicula	LC
Crocidura littoralis	LC
Crocidura longipes	DD
Crocidura lucina	VU
Crocidura ludia	LC
Crocidura luna	LC
Crocidura lusitania	LC
Crocidura lwiroensis	DD
Crocidura macarthuri	LC
Crocidura macmillani	NT
Crocidura macowi	DD
Crocidura malayana	LC
Crocidura manengubae	VU
Crocidura maquassiensis	LC
Crocidura mariquensis	LC
Crocidura maurisca	LC
Crocidura maxi	LC
Crocidura mdumai	EN
Crocidura mindorus	DD
Crocidura miya	EN
Crocidura monax	DD
Crocidura monticola	LC
Crocidura montis	LC
Crocidura munissii	LC
Crocidura muricauda	LC
Crocidura musseri	DD
Crocidura mutesae	DD
Crocidura nana	DD
